path	type	lang_tree	template	title	bytes
/8-category-en/818-year-2021.html	html	en	T2-article-detail	Year 2021 - Indian Pharmacopoeia Commission	75674
/8-category-en/931-drug-alerts-2022.html	html	en	T2-article-detail	Drug Alerts 2022 - Indian Pharmacopoeia Commission	75553
/8-category-en/952-year-2022.html	html	en	T2-article-detail	Year 2022 - Indian Pharmacopoeia Commission	76460
/8-category-en/981-x.html	html	en	T2-article-detail	X - Indian Pharmacopoeia Commission	67793
/8-category-en/982-z.html	html	en	T2-article-detail	Z - Indian Pharmacopoeia Commission	68624
/8-category-en/995-w.html	html	en	T2-article-detail	W - Indian Pharmacopoeia Commission	67938
/8-category-en/csrf.token	html	en	T4-category-list	English Category - Indian Pharmacopoeia Commission	72267
/8-category-en/system.paths	html	en	T4-category-list	English Category - Indian Pharmacopoeia Commission	72271
/9	html	en	T2-article-detail	Secretary-cum-Scientific Director - Indian Pharmacopoeia Commission	70944
/PvPI/60-AMC%20	html	en	T9-PvPI-static	Cash &amp; Accounts - Indian Pharmacopoeia Commission	67719
/PvPI/about.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	32360
/PvPI/adr.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	22132
/PvPI/career.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	7881
/PvPI/copyright.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	6883
/PvPI/das.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	27514
/PvPI/disclaimer.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	7834
/PvPI/et.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	11998
/PvPI/faq.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	13462
/PvPI/feedback.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	11330
/PvPI/gallery1.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	9819
/PvPI/gallery2.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	8967
/PvPI/gallery3.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	9547
/PvPI/gallery4.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	8190
/PvPI/gallery5.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	8159
/PvPI/help.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	7546
/PvPI/hyperlink.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	7294
/PvPI/ne.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	19880
